Symptoms,Severity
minor gradual abdomen fatigue,Low
minor heart rash,Low
mild foot palpitations,Low
low-grade progressive ear obstruction,Low
intermittent episodic hand swelling,Low
low-grade progressive shoulder ulcer,Low
low-grade nose failure,Low
moderate neck ulcer,Low
low-grade eye congestion,Low
low-grade throat ulcer,Low
localized abdomen lesion,Low
manageable constant heart infection,Low
temporary sudden onset of neck bleeding,Low
minor knee ulcer,Low
localized foot palpitations,Low
subtle kidney stiffness,Low
moderate abdomen cramps,Low
slight progressive leg congestion,Low
tiny neck cramps,Low
mild gradual leg rash,Low
intermittent neck fracture,Low
slight sudden onset of kidney ulcer,Low
transient occasional abdomen spasm,Low
tiny neck weakness,Low
manageable knee pain,Low
small arm stiffness,Low
slight foot spasm,Low
occasional nose bleeding,Low
occasional slight case of lung spasm,Low
temporary episodic hand bleeding,Low
minor eye bleeding,Low
sporadic ear fracture,Low
minor constant abdomen bleeding,Low
manageable kidney spasm,Low
transient stomach fracture,Low
temporary severe episode of kidney trauma,Low
intermittent sudden onset of eye weakness,Low
low-grade heart fracture,Low
small head rash,Low
small episodic ear lesion,Low
manageable arm stiffness,Low
tiny foot bleeding,Low
transient chronic head ulcer,Low
localized occasional hand fatigue,Low
low-grade chronic leg obstruction,Low
temporary constant nose shock,Low
slight hand tremor,Low
mild sudden onset of heart spasm,Low
intermittent back swelling,Low
temporary stomach bleeding,Low
occasional kidney pain,Low
minor episodic arm rash,Low
mild knee fatigue,Low
sporadic chronic kidney cramps,Low
small severe episode of heart palpitations,Low
temporary recurring hand burns,Low
transient liver burns,Low
transient episodic abdomen failure,Low
mild foot infection,Low
tiny throat burns,Low
sporadic constant abdomen lesion,Low
intermittent stomach lesion,Low
tiny nose fatigue,Low
moderate sudden nose obstruction,Low
intermittent severe episode of knee spasm,Low
moderate stomach spasm,Low
low-grade back ulcer,Low
sporadic sudden onset of arm shock,Low
occasional occasional hand inflammation,Low
occasional recurring ear lesion,Low
manageable arm stiffness,Low
small gradual head inflammation,Low
subtle progressive arm bleeding,Low
moderate abdomen cramps,Low
low-grade constant stomach swelling,Low
tiny sudden neck congestion,Low
temporary progressive lung fatigue,Low
tiny eye tremor,Low
sporadic recurring leg spasm,Low
localized sudden chest weakness,Low
mild foot rash,Low
mild chest failure,Low
occasional slight case of neck trauma,Low
occasional progressive eye palpitations,Low
low-grade stomach bleeding,Low
transient abdomen inflammation,Low
manageable ear fatigue,Low
manageable episodic head fracture,Low
minor nose lesion,Low
intermittent ear tremor,Low
low-grade liver obstruction,Low
occasional arm swelling,Low
moderate hand inflammation,Low
intermittent throat lesion,Low
sporadic gradual throat palpitations,Low
mild sudden eye numbness,Low
moderate knee ulcer,Low
sporadic lung trauma,Low
sporadic abdomen numbness,Low
manageable constant shoulder ulcer,Low
tiny severe episode of eye lesion,Low
moderate slight case of throat shock,Low
small eye rash,Low
manageable constant ear burns,Low
mild kidney spasm,Low
occasional progressive chest burns,Low
transient head pain,Low
moderate severe episode of head infection,Low
moderate knee spasm,Low
tiny constant ear tremor,Low
low-grade episodic head obstruction,Low
mild head burns,Low
manageable gradual head shock,Low
occasional progressive throat lesion,Low
temporary sudden onset of heart ulcer,Low
mild acute case of eye fracture,Low
temporary progressive back numbness,Low
minor hand weakness,Low
intermittent foot bleeding,Low
subtle back ulcer,Low
moderate occasional neck weakness,Low
occasional stomach burns,Low
sporadic kidney numbness,Low
occasional occasional head pain,Low
intermittent recurring shoulder lesion,Low
localized sudden onset of heart rash,Low
low-grade throat fracture,Low
slight episodic heart spasm,Low
low-grade chronic neck tremor,Low
moderate liver trauma,Low
manageable liver trauma,Low
intermittent acute case of arm stiffness,Low
occasional acute case of neck failure,Low
intermittent severe episode of nose fracture,Low
temporary episodic eye ulcer,Low
sporadic acute case of back trauma,Low
tiny ear rash,Low
transient slight case of arm inflammation,Low
occasional gradual ear obstruction,Low
low-grade chest tremor,Low
low-grade sudden leg palpitations,Low
small foot tremor,Low
temporary hand burns,Low
subtle occasional back tremor,Low
tiny hand numbness,Low
mild liver burns,Low
moderate neck rash,Low
tiny heart bleeding,Low
occasional slight case of back burns,Low
minor knee obstruction,Low
small kidney obstruction,Low
moderate severe episode of knee bleeding,Low
manageable chronic leg failure,Low
small liver numbness,Low
temporary back tremor,Low
intermittent acute case of stomach failure,Low
tiny sudden chest fatigue,Low
manageable throat pain,Low
moderate gradual knee cramps,Low
slight heart ulcer,Low
low-grade throat congestion,Low
small occasional nose trauma,Low
temporary arm fatigue,Low
localized slight case of hand swelling,Low
localized gradual knee trauma,Low
subtle leg lesion,Low
minor heart cramps,Low
intermittent recurring heart lesion,Low
manageable leg pain,Low
small slight case of neck palpitations,Low
small lung swelling,Low
sporadic leg rash,Low
sporadic shoulder failure,Low
intermittent recurring hand trauma,Low
moderate slight case of abdomen weakness,Low
manageable knee fracture,Low
intermittent kidney pain,Low
transient episodic lung inflammation,Low
subtle occasional abdomen ulcer,Low
manageable severe episode of hand rash,Low
small shoulder bleeding,Low
manageable leg bleeding,Low
tiny head rash,Low
localized progressive nose fatigue,Low
low-grade nose swelling,Low
low-grade nose spasm,Low
occasional shoulder weakness,Low
occasional slight case of liver burns,Low
occasional throat swelling,Low
localized shoulder bleeding,Low
moderate sudden onset of leg stiffness,Low
small recurring abdomen cramps,Low
moderate arm cramps,Low
small ear weakness,Low
localized abdomen failure,Low
moderate constant shoulder obstruction,Low
small progressive foot palpitations,Low
tiny sudden onset of hand pain,Low
manageable chronic leg rash,Low
minor shoulder rash,Low
intermittent slight case of chest burns,Low
localized arm inflammation,Low
localized occasional back tremor,Low
tiny knee pain,Low
sporadic severe episode of eye burns,Low
mild severe episode of leg numbness,Low
temporary episodic nose obstruction,Low
subtle severe episode of eye stiffness,Low
sporadic back pain,Low
minor recurring foot burns,Low
intermittent back ulcer,Low
small acute case of abdomen lesion,Low
localized shoulder numbness,Low
sporadic occasional ear infection,Low
subtle episodic head rash,Low
occasional foot cramps,Low
transient hand numbness,Low
low-grade lung cramps,Low
localized lung numbness,Low
localized chronic heart palpitations,Low
transient stomach lesion,Low
small hand palpitations,Low
moderate leg bleeding,Low
intermittent foot fatigue,Low
sporadic chronic abdomen palpitations,Low
intermittent heart palpitations,Low
transient kidney trauma,Low
moderate severe episode of nose lesion,Low
moderate chronic heart tremor,Low
temporary gradual chest failure,Low
occasional sudden ear failure,Low
temporary heart spasm,Low
occasional recurring kidney failure,Low
temporary liver infection,Low
transient slight case of kidney rash,Low
occasional kidney stiffness,Low
sporadic knee pain,Low
minor occasional foot trauma,Low
subtle episodic neck shock,Low
subtle liver ulcer,Low
occasional recurring heart fracture,Low
small heart failure,Low
small ear pain,Low
temporary recurring foot obstruction,Low
moderate episodic kidney pain,Low
sporadic recurring shoulder stiffness,Low
subtle shoulder spasm,Low
intermittent ear inflammation,Low
minor slight case of leg numbness,Low
intermittent episodic eye fatigue,Low
occasional nose numbness,Low
tiny neck obstruction,Low
subtle acute case of back shock,Low
subtle knee weakness,Low
small arm ulcer,Low
small chest rash,Low
subtle chronic leg tremor,Low
intermittent knee numbness,Low
small sudden head rash,Low
slight progressive leg congestion,Low
moderate slight case of foot lesion,Low
small progressive chest failure,Low
low-grade recurring neck burns,Low
mild heart rash,Low
slight liver congestion,Low
moderate episodic leg rash,Low
occasional slight case of throat tremor,Low
sporadic back congestion,Low
occasional recurring leg bleeding,Low
localized knee obstruction,Low
temporary nose inflammation,Low
localized constant heart fracture,Low
slight abdomen spasm,Low
subtle eye shock,Low
slight progressive liver inflammation,Low
manageable occasional abdomen lesion,Low
slight progressive nose swelling,Low
low-grade sudden eye bleeding,Low
transient gradual shoulder tremor,Low
mild neck spasm,Low
sporadic chronic head trauma,Low
minor gradual arm tremor,Low
minor severe episode of heart lesion,Low
occasional heart fracture,Low
manageable heart infection,Low
localized progressive back spasm,Low
transient eye infection,Low
occasional throat infection,Low
moderate liver pain,Low
manageable throat tremor,Low
temporary occasional shoulder congestion,Low
moderate gradual leg tremor,Low
mild abdomen numbness,Low
transient severe episode of ear fatigue,Low
tiny hand weakness,Low
mild occasional chest shock,Low
tiny constant hand ulcer,Low
mild lung spasm,Low
low-grade episodic head infection,Low
mild occasional hand weakness,Low
temporary episodic ear trauma,Low
minor eye fracture,Low
transient sudden onset of heart pain,Low
low-grade slight case of lung failure,Low
slight gradual stomach trauma,Low
subtle knee pain,Low
intermittent heart fracture,Low
small heart lesion,Low
temporary leg bleeding,Low
occasional gradual liver weakness,Low
mild occasional throat shock,Low
sporadic sudden hand rash,Low
temporary neck congestion,Low
minor episodic abdomen ulcer,Low
minor head obstruction,Low
tiny acute case of ear stiffness,Low
small chest rash,Low
small chronic liver fatigue,Low
slight head swelling,Low
intermittent slight case of stomach palpitations,Low
intermittent heart obstruction,Low
manageable severe episode of stomach cramps,Low
occasional progressive shoulder inflammation,Low
manageable acute case of abdomen congestion,Low
low-grade recurring ear swelling,Low
subtle slight case of lung burns,Low
slight sudden onset of neck lesion,Low
mild back shock,Low
intermittent stomach palpitations,Low
low-grade chest obstruction,Low
localized recurring arm tremor,Low
slight nose obstruction,Low
subtle sudden onset of neck spasm,Low
mild occasional lung obstruction,Low
intermittent gradual kidney shock,Low
low-grade arm shock,Low
tiny eye swelling,Low
transient severe episode of neck bleeding,Low
subtle severe episode of heart failure,Low
slight lung cramps,Low
localized progressive nose fracture,Low
manageable constant ear fatigue,Low
sporadic constant chest swelling,Low
slight occasional abdomen swelling,Low
manageable nose congestion,Low
moderate eye infection,Low
small hand swelling,Low
subtle slight case of abdomen failure,Low
tiny stomach inflammation,Low
slight nose weakness,Low
slight head swelling,Low
mild throat cramps,Low
minor chronic ear failure,Low
manageable throat swelling,Low
localized abdomen tremor,Low
small constant arm shock,Low
moderate shoulder stiffness,Low
manageable occasional abdomen tremor,Low
moderate sudden neck fatigue,Low
moderate progressive stomach rash,Low
subtle neck burns,Low
temporary sudden onset of nose pain,Low
temporary sudden onset of heart inflammation,Low
transient episodic head shock,Low
manageable hand inflammation,Low
localized acute case of abdomen infection,Low
tiny sudden abdomen swelling,Low
moderate episodic liver bleeding,Low
intermittent severe episode of chest trauma,Low
localized recurring knee weakness,Low
intermittent head burns,Low
subtle liver spasm,Low
slight sudden nose swelling,Low
slight recurring arm fracture,Low
temporary chronic head numbness,Low
subtle slight case of kidney lesion,Low
subtle gradual throat fatigue,Low
moderate constant knee failure,Low
slight slight case of eye lesion,Low
minor nose obstruction,Low
localized foot rash,Low
moderate kidney infection,Low
low-grade arm failure,Low
small constant eye fatigue,Low
mild sudden onset of foot fracture,Low
moderate nose fracture,Low
intermittent progressive lung fracture,Low
intermittent leg inflammation,Low
temporary occasional head inflammation,Low
subtle abdomen congestion,Low
transient severe episode of eye lesion,Low
subtle kidney shock,Low
moderate neck burns,Low
small gradual head cramps,Low
intermittent severe episode of liver burns,Low
subtle occasional nose bleeding,Low
subtle shoulder ulcer,Low
intermittent progressive ear congestion,Low
minor neck rash,Low
slight slight case of stomach congestion,Low
subtle liver congestion,Low
occasional sudden lung infection,Low
subtle constant chest trauma,Low
tiny slight case of leg trauma,Low
transient chronic neck fatigue,Low
small recurring back bleeding,Low
occasional arm infection,Low
slight knee pain,Low
manageable episodic shoulder inflammation,Low
moderate back spasm,Low
slight throat obstruction,Low
localized acute case of eye spasm,Low
small lung failure,Low
intermittent kidney fatigue,Low
transient kidney infection,Low
low-grade heart obstruction,Low
slight neck rash,Low
minor sudden onset of liver numbness,Low
small back obstruction,Low
tiny episodic abdomen tremor,Low
transient constant neck lesion,Low
intermittent leg swelling,Low
localized episodic kidney burns,Low
localized recurring lung stiffness,Low
tiny slight case of chest obstruction,Low
slight neck trauma,Low
moderate knee pain,Low
transient abdomen cramps,Low
transient hand palpitations,Low
slight back pain,Low
low-grade acute case of neck bleeding,Low
transient liver pain,Low
temporary back swelling,Low
minor shoulder shock,Low
small chest palpitations,Low
intermittent progressive knee fatigue,Low
localized knee trauma,Low
low-grade progressive hand inflammation,Low
sporadic foot pain,Low
localized episodic head cramps,Low
sporadic progressive eye trauma,Low
tiny kidney ulcer,Low
small chronic ear shock,Low
temporary knee fracture,Low
intermittent sudden onset of heart fracture,Low
minor kidney failure,Low
transient severe episode of abdomen cramps,Low
slight slight case of ear pain,Low
tiny knee congestion,Low
transient progressive arm fracture,Low
small episodic eye weakness,Low
transient recurring neck palpitations,Low
mild slight case of nose cramps,Low
temporary nose ulcer,Low
transient sudden abdomen burns,Low
manageable severe episode of shoulder tremor,Low
occasional slight case of heart weakness,Low
occasional nose ulcer,Low
mild recurring knee spasm,Low
mild occasional chest inflammation,Low
subtle sudden foot shock,Low
subtle shoulder ulcer,Low
occasional abdomen swelling,Low
transient acute case of knee failure,Low
slight leg bleeding,Low
sporadic recurring hand cramps,Low
transient sudden onset of nose failure,Low
minor slight case of neck numbness,Low
occasional hand cramps,Low
localized ear tremor,Low
minor lung failure,Low
occasional liver weakness,Low
manageable heart numbness,Low
sporadic constant stomach weakness,Low
minor sudden onset of neck rash,Low
minor stomach bleeding,Low
subtle acute case of kidney stiffness,Low
transient slight case of stomach fatigue,Low
tiny knee congestion,Low
temporary constant stomach lesion,Low
sporadic arm fracture,Low
occasional stomach tremor,Low
manageable shoulder pain,Low
manageable progressive chest fatigue,Low
mild head palpitations,Low
mild episodic liver stiffness,Low
minor stomach fatigue,Low
manageable neck rash,Low
occasional heart obstruction,Low
low-grade head burns,Low
subtle recurring chest obstruction,Low
tiny shoulder inflammation,Low
occasional arm tremor,Low
mild abdomen palpitations,Low
localized episodic stomach trauma,Low
low-grade constant liver rash,Low
intermittent sudden hand tremor,Low
localized occasional foot infection,Low
slight lung weakness,Low
low-grade lung stiffness,Low
transient foot shock,Low
mild neck fracture,Low
manageable stomach fracture,Low
minor severe episode of knee swelling,Low
slight slight case of chest palpitations,Low
slight gradual abdomen fatigue,Low
transient hand palpitations,Low
small episodic leg weakness,Low
minor recurring abdomen swelling,Low
sporadic shoulder swelling,Low
temporary abdomen burns,Low
tiny acute case of knee ulcer,Low
slight knee weakness,Low
small severe episode of chest fracture,Low
manageable severe episode of ear cramps,Low
low-grade stomach burns,Low
subtle episodic stomach inflammation,Low
low-grade shoulder congestion,Low
mild sudden onset of head inflammation,Low
manageable stomach lesion,Low
mild lung pain,Low
temporary neck infection,Low
minor sudden back fatigue,Low
subtle leg swelling,Low
mild acute case of throat ulcer,Low
temporary progressive arm fatigue,Low
occasional hand tremor,Low
transient sudden onset of neck bleeding,Low
intermittent recurring nose bleeding,Low
transient sudden hand stiffness,Low
moderate ear trauma,Low
localized shoulder fatigue,Low
tiny eye infection,Low
intermittent nose burns,Low
manageable recurring back pain,Low
subtle abdomen weakness,Low
low-grade chronic heart rash,Low
moderate neck obstruction,Low
small heart trauma,Low
localized foot weakness,Low
slight liver spasm,Low
localized occasional ear burns,Low
mild constant ear spasm,Low
intermittent progressive heart infection,Low
slight episodic throat ulcer,Low
occasional foot swelling,Low
moderate slight case of neck burns,Low
moderate kidney spasm,Low
minor leg numbness,Low
temporary acute case of heart lesion,Low
occasional severe episode of foot inflammation,Low
transient progressive foot congestion,Low
mild abdomen congestion,Low
mild progressive lung ulcer,Low
low-grade recurring throat lesion,Low
mild nose stiffness,Low
tiny severe episode of kidney trauma,Low
localized acute case of back trauma,Low
sporadic gradual leg trauma,Low
occasional episodic throat palpitations,Low
slight chest cramps,Low
slight chest lesion,Low
intermittent heart swelling,Low
small hand bleeding,Low
transient severe episode of nose weakness,Low
sporadic head shock,Low
manageable abdomen inflammation,Low
subtle abdomen burns,Low
manageable arm lesion,Low
transient chronic lung obstruction,Low
occasional shoulder fracture,Low
localized episodic heart fracture,Low
localized recurring nose trauma,Low
subtle gradual chest ulcer,Low
mild arm failure,Low
localized recurring hand lesion,Low
minor episodic head tremor,Low
transient episodic lung lesion,Low
occasional liver tremor,Low
moderate chest pain,Low
moderate constant hand fracture,Low
mild sudden leg inflammation,Low
subtle eye pain,Low
tiny hand palpitations,Low
manageable kidney weakness,Low
slight lung fracture,Low
manageable liver palpitations,Low
low-grade chest ulcer,Low
intermittent occasional foot lesion,Low
sporadic acute case of neck weakness,Low
transient chest ulcer,Low
mild nose rash,Low
low-grade slight case of stomach obstruction,Low
subtle chronic chest cramps,Low
manageable hand burns,Low
subtle kidney numbness,Low
sporadic stomach palpitations,Low
slight chronic throat lesion,Low
low-grade knee cramps,Low
temporary abdomen inflammation,Low
tiny occasional heart burns,Low
occasional progressive shoulder pain,Low
subtle sudden head rash,Low
sporadic leg bleeding,Low
sporadic stomach weakness,Low
transient severe episode of liver stiffness,Low
moderate kidney tremor,Low
moderate knee obstruction,Low
small neck ulcer,Low
small chest pain,Low
transient leg ulcer,Low
localized kidney palpitations,Low
intermittent chronic heart fatigue,Low
slight severe episode of leg failure,Low
slight eye shock,Low
localized sudden onset of arm palpitations,Low
localized acute case of hand burns,Low
low-grade acute case of leg fatigue,Low
sporadic knee failure,Low
sporadic shoulder fatigue,Low
occasional arm inflammation,Low
sporadic gradual foot weakness,Low
manageable sudden ear tremor,Low
temporary head failure,Low
moderate head fracture,Low
minor slight case of neck fatigue,Low
slight progressive liver shock,Low
slight eye obstruction,Low
localized sudden abdomen stiffness,Low
manageable recurring liver cramps,Low
small back spasm,Low
slight hand fatigue,Low
temporary sudden onset of abdomen congestion,Low
minor slight case of eye fatigue,Low
minor chronic chest burns,Low
moderate constant liver bleeding,Low
transient shoulder infection,Low
minor gradual knee trauma,Low
minor episodic ear ulcer,Low
tiny leg fatigue,Low
slight back fatigue,Low
tiny chest pain,Low
intermittent leg weakness,Low
sporadic chronic abdomen fatigue,Low
transient abdomen bleeding,Low
transient throat stiffness,Low
mild lung ulcer,Low
subtle knee failure,Low
transient sudden neck palpitations,Low
occasional leg weakness,Low
tiny kidney congestion,Low
low-grade ear burns,Low
slight hand numbness,Low
localized arm lesion,Low
tiny recurring heart pain,Low
occasional acute case of liver numbness,Low
intermittent sudden onset of kidney cramps,Low
localized chronic back inflammation,Low
intermittent back ulcer,Low
sporadic chest spasm,Low
moderate head stiffness,Low
intermittent kidney rash,Low
intermittent liver spasm,Low
low-grade lung ulcer,Low
tiny liver fatigue,Low
transient severe episode of throat burns,Low
low-grade shoulder infection,Low
localized shoulder bleeding,Low
transient neck infection,Low
localized foot fatigue,Low
intermittent knee weakness,Low
temporary constant liver fatigue,Low
tiny leg burns,Low
intermittent nose spasm,Low
temporary foot failure,Low
localized heart bleeding,Low
transient episodic lung spasm,Low
moderate chronic foot ulcer,Low
slight kidney pain,Low
localized gradual ear congestion,Low
minor recurring ear ulcer,Low
sporadic kidney failure,Low
tiny knee failure,Low
temporary recurring lung bleeding,Low
transient lung stiffness,Low
small arm swelling,Low
sporadic occasional throat trauma,Low
subtle abdomen spasm,Low
sporadic episodic nose congestion,Low
localized acute case of neck bleeding,Low
tiny chronic heart tremor,Low
low-grade sudden onset of nose trauma,Low
sporadic sudden stomach palpitations,Low
occasional neck palpitations,Low
localized ear ulcer,Low
occasional knee tremor,Low
slight sudden back rash,Low
intermittent leg numbness,Low
slight recurring arm pain,Low
transient arm spasm,Low
transient gradual heart failure,Low
minor chest infection,Low
manageable episodic chest ulcer,Low
sporadic severe episode of stomach numbness,Low
manageable eye tremor,Low
sporadic recurring ear cramps,Low
low-grade chronic hand burns,Low
low-grade occasional neck rash,Low
moderate gradual arm congestion,Low
minor sudden throat rash,Low
temporary sudden throat lesion,Low
minor sudden onset of lung cramps,Low
localized abdomen cramps,Low
manageable arm infection,Low
tiny occasional ear inflammation,Low
occasional recurring arm palpitations,Low
low-grade foot shock,Low
subtle heart failure,Low
temporary sudden onset of head fatigue,Low
tiny chronic neck tremor,Low
low-grade head spasm,Low
tiny slight case of ear tremor,Low
subtle head fatigue,Low
sporadic liver rash,Low
temporary episodic foot pain,Low
transient episodic back fracture,Low
localized kidney lesion,Low
localized hand tremor,Low
tiny eye stiffness,Low
moderate nose congestion,Low
intermittent liver infection,Low
low-grade severe episode of arm infection,Low
minor nose congestion,Low
subtle constant arm tremor,Low
temporary episodic shoulder pain,Low
sporadic kidney lesion,Low
tiny slight case of chest weakness,Low
minor recurring back swelling,Low
slight leg failure,Low
small nose stiffness,Low
low-grade constant neck burns,Low
intermittent gradual shoulder palpitations,Low
mild chronic chest obstruction,Low
tiny sudden onset of ear congestion,Low
sporadic gradual kidney inflammation,Low
minor severe episode of stomach lesion,Low
tiny neck stiffness,Low
mild occasional ear palpitations,Low
moderate constant head shock,Low
slight knee weakness,Low
subtle kidney trauma,Low
mild arm palpitations,Low
tiny kidney swelling,Low
tiny gradual chest cramps,Low
tiny nose rash,Low
temporary severe episode of knee obstruction,Low
minor liver palpitations,Low
slight leg failure,Low
sporadic arm numbness,Low
manageable heart cramps,Low
manageable sudden ear stiffness,Low
manageable foot swelling,Low
sporadic back ulcer,Low
tiny heart palpitations,Low
manageable constant back swelling,Low
localized liver spasm,Low
localized head ulcer,Low
transient severe episode of nose cramps,Low
sporadic shoulder spasm,Low
sporadic episodic eye pain,Low
localized arm rash,Low
mild kidney congestion,Low
intermittent progressive chest inflammation,Low
occasional arm inflammation,Low
sporadic hand weakness,Low
manageable shoulder bleeding,Low
moderate head obstruction,Low
subtle constant arm fatigue,Low
small occasional ear congestion,Low
occasional severe episode of liver cramps,Low
temporary liver trauma,Low
tiny constant hand bleeding,Low
manageable shoulder failure,Low
sporadic ear swelling,Low
transient recurring hand trauma,Low
slight progressive liver numbness,Low
tiny severe episode of throat failure,Low
localized sudden neck lesion,Low
tiny acute case of heart fracture,Low
tiny kidney obstruction,Low
minor nose trauma,Low
temporary sudden leg fatigue,Low
slight acute case of eye stiffness,Low
manageable nose burns,Low
intermittent occasional knee shock,Low
moderate constant liver infection,Low
intermittent acute case of liver congestion,Low
subtle hand swelling,Low
sporadic gradual foot swelling,Low
slight acute case of knee weakness,Low
minor progressive lung bleeding,Low
localized eye burns,Low
slight knee infection,Low
localized kidney fracture,Low
occasional abdomen stiffness,Low
transient head infection,Low
small episodic heart swelling,Low
low-grade sudden hand cramps,Low
small constant stomach fracture,Low
tiny gradual head stiffness,Low
minor sudden onset of back inflammation,Low
minor gradual knee ulcer,Low
localized gradual leg shock,Low
occasional lung pain,Low
occasional head congestion,Low
transient neck palpitations,Low
manageable acute case of stomach palpitations,Low
mild recurring nose trauma,Low
minor occasional knee lesion,Low
intermittent sudden onset of head trauma,Low
subtle stomach fatigue,Low
subtle recurring throat failure,Low
intermittent throat infection,Low
subtle head rash,Low
manageable hand obstruction,Low
transient hand pain,Low
minor nose shock,Low
moderate kidney bleeding,Low
transient sudden nose obstruction,Low
transient heart shock,Low
mild foot spasm,Low
small ear failure,Low
minor neck failure,Low
transient abdomen weakness,Low
manageable occasional head pain,Low
minor nose ulcer,Low
mild chronic foot inflammation,Low
intermittent occasional ear lesion,Low
mild acute case of abdomen fracture,Low
minor kidney fracture,Low
localized foot bleeding,Low
localized foot infection,Low
sporadic nose inflammation,Low
occasional back weakness,Low
transient nose failure,Low
manageable shoulder infection,Low
low-grade liver tremor,Low
intermittent arm infection,Low
sporadic constant shoulder bleeding,Low
moderate shoulder swelling,Low
transient arm weakness,Low
manageable liver congestion,Low
localized eye congestion,Low
manageable ear spasm,Low
small sudden onset of knee ulcer,Low
mild episodic shoulder tremor,Low
subtle sudden onset of back congestion,Low
localized arm swelling,Low
slight sudden onset of foot pain,Low
small ear ulcer,Low
sporadic back inflammation,Low
transient constant arm inflammation,Low
tiny eye failure,Low
small episodic neck bleeding,Low
occasional shoulder weakness,Low
occasional arm palpitations,Low
tiny nose spasm,Low
localized recurring kidney infection,Low
small throat congestion,Low
manageable progressive lung swelling,Low
minor severe episode of shoulder pain,Low
sporadic knee congestion,Low
intermittent occasional eye swelling,Low
transient acute case of stomach tremor,Low
mild lung obstruction,Low
tiny constant shoulder tremor,Low
transient arm bleeding,Low
intermittent sudden eye inflammation,Low
tiny constant nose trauma,Low
manageable knee burns,Low
sporadic throat tremor,Low
small sudden neck fatigue,Low
tiny head bleeding,Low
low-grade eye bleeding,Low
occasional ear inflammation,Low
intermittent progressive foot palpitations,Low
low-grade neck congestion,Low
intermittent sudden onset of ear fatigue,Low
tiny chest fracture,Low
transient chronic nose weakness,Low
minor acute case of kidney stiffness,Low
temporary episodic eye pain,Low
occasional slight case of stomach burns,Low
moderate leg bleeding,Low
low-grade slight case of head trauma,Low
transient chest spasm,Low
subtle stomach inflammation,Low
